	shannon	chao1	observed_otus	PD_whole_tree
PIH.P110.B	6.1889285646	1095.78301887	722.0	44.15985
PIH.P128.B	5.64981556975	1011.17073171	610.0	35.8999
Health.H074.B	5.27233302371	1034.25925926	693.0	41.40699
Health.H028.B	6.21725008872	1186.02631579	774.0	43.52312
Health.H041.B	5.99909714999	1118.53043478	744.0	40.53657
PIH.P106.B	5.78074139772	1035.90225564	738.0	44.71403
PIH.P161.B	6.09903355986	1001.63157895	704.0	41.62589
Health.H077.B	4.88391318782	1129.65957447	690.0	40.52147
Health.H061.B	4.4874124539	1047.86585366	605.0	34.91277
Health.H005.B	5.89575785228	1059.31538462	728.0	41.07787
PIH.P099.B	5.72682962551	1038.25925926	697.0	39.34393
Health.H009.B	4.11482480978	944.182692308	595.0	33.72963
PIH.P137.B	3.85224573881	890.756097561	541.0	36.40974
Health.H020.B	6.21097262892	1119.28244275	786.0	45.58392
PIH.P150.B	5.95506006564	1195.11504425	774.0	43.63551
PIH.P125.B	5.03930530536	1088.42857143	687.0	40.77998
Health.H012.B	6.74099046485	1337.5483871	859.0	48.50116
Health.H010.B	5.5008576849	1102.49450549	664.0	39.788
Health.H036.B	3.23939049905	858.461538462	564.0	35.91887
Health.H021.B	5.90638124405	1140.03448276	743.0	42.72032
Health.H072.B	7.06624303833	1245.22608696	850.0	46.16938
PIH.P103.B	6.13846993337	1029.15189873	632.0	39.3306
Health.H004.B	5.41875550613	970.011111111	613.0	36.83529
PIH.P130.B	5.53422137678	947.78021978	603.0	40.36178
Health.H011.B	4.64016919949	1029.72340426	626.0	36.37467
Health.H018.B	5.46763012394	1157.93258427	654.0	39.97757
Health.H078.B	6.11674431865	1083.08256881	717.0	42.19893
Health.H038.B	5.48141691821	1110.46808511	646.0	41.61872
Health.H070.B	3.31353152666	874.735632184	556.0	35.09159
Health.H047.B	5.26941810954	1070.86734694	655.0	40.45737
Health.H069.B	5.49459865422	1203.7027027	741.0	43.28117
PIH.P139.B	6.13924278616	1113.33333333	720.0	42.52823
Health.H048.B	5.61855852207	1188.87912088	722.0	43.52115
PIH.P158.B	5.87860116454	1029.25806452	670.0	38.99847
PIH.P157.B	4.27090928601	1195.79746835	658.0	40.72526
Health.H024.B	6.02877338419	1073.6728972	719.0	40.68805
PIH.P114.B	6.07129623009	1116.56637168	738.0	40.9422
PIH.P101.B	4.76830034642	934.459016393	639.0	38.57186
Health.H049.B	6.29612684444	1196.46853147	844.0	46.14893
PIH.P143.B	5.17202755289	1039.28	668.0	40.88639
Health.H025.B	5.50062442236	1128.11607143	733.0	42.90143
PIH.P154.B	4.40342507466	1012.8	639.0	40.71619
PIH.P096.B	6.80777631996	1208.10377358	799.0	44.7485
Health.H055.B	3.51830337721	933.129032258	557.0	35.70432
Health.H001.B	4.74353261313	1265.26506024	658.0	40.27718
Health.H023.B	6.03745472216	1163.72727273	773.0	45.24972
PIH.P149.B	6.0621584685	1197.71171171	755.0	46.03085
PIH.P093.B	5.18847201216	1042.97115385	662.0	41.60206
Health.H016.B	5.0553842139	989.00952381	638.0	39.52437
PIH.P120.B	5.51533685203	1121.34285714	725.0	43.04429
Health.H017.B	4.6544212406	952.967741935	602.0	36.8898
Health.H056.B	4.66366135921	967.662650602	562.0	37.00854
Health.H006.B	6.29802693297	1008.94067797	708.0	41.61765
Health.H079.B	4.39853489012	1041.56382979	629.0	37.73366
Health.H068.B	6.24266825542	1045.41353383	758.0	42.1856
PIH.P094.B	6.24848474844	1061.91666667	678.0	39.8701
Health.H013.B	4.88674388742	1139.27118644	736.0	43.50546
Health.H014.B	5.08967323226	944.417475728	615.0	36.1372
Health.H071.B	4.87448142162	907.655172414	578.0	36.15528
PIH.P108.B	5.41606201649	1282.03	762.0	43.7459
Health.H022.B	6.48442284464	1266.34513274	837.0	44.25537
Health.H007.B	5.09928945188	957.807692308	624.0	36.78513
PIH.P107.B	5.26786210742	1003.625	701.0	40.78736
Health.H057.B	5.65832642329	1046.93877551	690.0	39.74093
PIH.P151.B	5.76943157761	941.181034483	662.0	39.51155
PIH.P165.B	3.33884160358	902.514285714	503.0	32.01164
Health.H044.B	5.00449204834	1226.24096386	675.0	42.08268
Health.H045.B	4.63152108487	894.763888889	529.0	34.30556
PIH.P104.B	3.79674298446	899.045977011	547.0	35.26547
Health.H043.B	5.75560012771	1088.225	641.0	39.87718
Health.H039.B	5.18890197871	1014.0	702.0	41.23497
PIH.P111.B	5.19019569562	1029.42241379	707.0	41.03078
Health.H042.B	6.21315559475	1196.5625	754.0	40.23049
Health.H060.B	6.06351485213	1101.23636364	715.0	40.62599
PIH.P152.B	3.06688916278	692.12195122	447.0	30.43098
Health.H083.B	5.83982842321	1095.1	722.0	42.69473
Health.H029.B	6.04741127647	1100.01075269	686.0	37.80529
Health.H054.B	3.37416504717	866.368421053	489.0	31.9206
Health.H032.B	5.34186540042	1120.03937008	755.0	43.62494
Health.H073.B	6.13452416188	1240.13793103	775.0	46.8044
PIH.P090.B	4.90908284845	1200.43835616	673.0	41.43694
Health.H002.B	6.58510739088	1336.42056075	826.0	44.69805
Health.H053.B	6.00198915326	1258.4954955	790.0	44.03198
PIH.P118.B	4.59867314925	1066.23076923	637.0	39.51067
PIH.P142.B	5.09506823652	991.764705882	641.0	38.94737
Health.H037.B	5.58168517628	1198.83962264	747.0	45.56317
Health.H003.B	6.50327116868	1237.47008547	793.0	44.53448
PIH.P133.B	6.22445896343	1144.8362069	771.0	43.10844
PIH.P148.B	4.53876916378	811.681818182	476.0	34.00286
PIH.P117.B	6.09538070639	1102.08403361	762.0	44.09122
Health.H027.B	5.33240080311	1069.08403361	729.0	43.06161
PIH.P124.B	5.21725597852	969.378640777	645.0	40.79018
Health.H066.B	6.23229822321	1120.04545455	778.0	44.28298
Health.H059.B	7.00901956545	1318.71559633	865.0	50.44816
Health.H026.B	6.70020353213	1234.81560284	866.0	46.47358
Health.H058.B	5.54035040763	1138.33333333	745.0	44.16756
Health.H033.B	6.45964355379	1080.46153846	749.0	41.29888
Health.H067.B	5.71230599534	1213.59433962	723.0	41.42459
Health.H063.B	4.4194068169	912.693181818	559.0	34.71336
PIH.P131.B	4.44534965717	864.6	530.0	35.05652
PIH.P113.B	3.96983785589	1023.06896552	621.0	37.93068
Health.H051.B	5.8215570575	1042.93877551	686.0	41.39509
Health.H046.B	5.62810680928	1002.75675676	690.0	39.97632
Health.H015.B	3.14353124564	853.210526316	536.0	33.89062
Health.H030.B	5.70078137037	1168.23584906	728.0	39.16624
Health.H019.B	3.84206634271	859.655172414	530.0	36.05158
PIH.P156.B	5.10651325149	1035.3125	640.0	38.76989
PIH.P147.B	5.15987450776	1085.37974684	598.0	38.3962
Health.H064.B	5.73817749135	962.5375	610.0	42.33019
PIH.P089.B	4.77847202784	923.666666667	561.0	36.33088
PIH.P145.B	4.9537470162	794.166666667	534.0	36.81431
Health.H081.B	6.16236213909	1200.26548673	790.0	43.24752
PIH.P141.B	4.52420382053	799.678571429	497.0	32.4425
PIH.P119.B	4.08699466614	960.682926829	575.0	35.33568
Health.H082.B	5.12470203718	1031.07058824	607.0	36.61187
Health.H085.B	6.41219867671	1238.54054054	793.0	44.29016
Health.H080.B	4.89232723619	970.577319588	585.0	36.28873
PIH.P163.B	5.2885037795	1131.88793103	719.0	45.51638
Health.H075.B	3.90454151709	1040.60638298	631.0	37.26701
PIH.P140.B	4.17984956971	822.125	543.0	35.1788
PIH.P162.B	5.46537546773	1018.90384615	654.0	39.56899
Health.H008.B	5.20092347226	1092.36363636	672.0	40.47561
PIH.P112.B	6.20756224311	1134.64102564	774.0	43.82492
PIH.P129.B	5.28584867039	927.756097561	578.0	36.41311
Health.H040.B	4.67272712805	975.147058824	627.0	39.03295
Health.H035.B	5.27631506791	1029.77669903	664.0	39.93038
PIH.P164.B	5.58537560703	1130.1588785	711.0	41.49856
PIH.P109.B	5.64306618515	1041.08510638	649.0	39.52814
Health.H084.B	4.63605601078	907.569620253	523.0	35.9111
PIH.P097.B	5.58736368073	991.6	638.0	39.80466
PIH.P098.B	5.63549565361	1086.28282828	663.0	43.72352
PIH.P102.B	6.22625586178	1087.5	672.0	38.21771
PIH.P136.B	4.80707921075	922.833333333	588.0	37.26669
PIH.P153.B	4.9125162953	884.184466019	582.0	36.70005
Health.H031.B	6.12587488309	1291.83898305	829.0	46.44797
