OTU ID	Health.H001.B	Health.H002.B	Health.H003.B	Health.H004.B	Health.H005.B	Health.H006.B	Health.H007.B	Health.H008.B	Health.H009.B	Health.H010.B	Health.H011.B	Health.H012.B	Health.H013.B	Health.H014.B	Health.H015.B	Health.H016.B	Health.H017.B	Health.H018.B	Health.H019.B	Health.H020.B	Health.H021.B	Health.H022.B	Health.H023.B	Health.H024.B	Health.H025.B	Health.H026.B	Health.H027.B	Health.H028.B	Health.H029.B	Health.H030.B	Health.H031.B	Health.H032.B	Health.H033.B	Health.H034.B	Health.H035.B	Health.H036.B	Health.H037.B	Health.H038.B	Health.H039.B	Health.H040.B	Health.H041.B	Health.H042.B	Health.H043.B	Health.H044.B	Health.H045.B	Health.H046.B	Health.H047.B	Health.H048.B	Health.H049.B	Health.H050.B	Health.H051.B	Health.H052.B	Health.H053.B	Health.H054.B	Health.H055.B	Health.H056.B	Health.H057.B	Health.H058.B	Health.H059.B	Health.H060.B	Health.H061.B	Health.H062.B	Health.H063.B	Health.H064.B	Health.H065.B	Health.H066.B	Health.H067.B	Health.H068.B	Health.H069.B	Health.H070.B	Health.H071.B	Health.H072.B	Health.H073.B	Health.H074.B	Health.H075.B	Health.H076.B	Health.H077.B	Health.H078.B	Health.H079.B	Health.H080.B	Health.H081.B	Health.H082.B	Health.H083.B	Health.H084.B	Health.H085.B	PIH.P087.B	PIH.P088.B	PIH.P089.B	PIH.P090.B	PIH.P091.B	PIH.P093.B	PIH.P094.B	PIH.P096.B	PIH.P097.B	PIH.P098.B	PIH.P099.B	PIH.P101.B	PIH.P102.B	PIH.P103.B	PIH.P104.B	PIH.P106.B	PIH.P107.B	PIH.P108.B	PIH.P109.B	PIH.P110.B	PIH.P111.B	PIH.P112.B	PIH.P113.B	PIH.P114.B	PIH.P117.B	PIH.P118.B	PIH.P119.B	PIH.P120.B	PIH.P121.B	PIH.P124.B	PIH.P125.B	PIH.P128.B	PIH.P129.B	PIH.P130.B	PIH.P131.B	PIH.P132.B	PIH.P133.B	PIH.P134.B	PIH.P136.B	PIH.P137.B	PIH.P138.B	PIH.P139.B	PIH.P140.B	PIH.P141.B	PIH.P142.B	PIH.P143.B	PIH.P144.B	PIH.P145.B	PIH.P147.B	PIH.P148.B	PIH.P149.B	PIH.P150.B	PIH.P151.B	PIH.P152.B	PIH.P153.B	PIH.P154.B	PIH.P155.B	PIH.P156.B	PIH.P157.B	PIH.P158.B	PIH.P159.B	PIH.P161.B	PIH.P162.B	PIH.P163.B	PIH.P164.B	PIH.P165.B
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.000125156445557	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000750938673342	0.0	0.0	0.0	0.0	0.0	0.0	0.000187734668335	0.0	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.000125156445557	6.25782227785e-05	0.0	0.00137672090113	0.000187734668335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00362953692115	0.0	0.0	6.25782227785e-05	0.0	0.0	0.000187734668335	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000125156445557	0.0	0.000187734668335	0.0	0.0	0.0	0.00269086357947	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.0	0.000250312891114	6.25782227785e-05	0.000125156445557	0.00400500625782	0.0	0.0049436795995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00162703379224	0.0	0.000688360450563	0.000500625782228	0.0	0.000187734668335	6.25782227785e-05	0.0	0.0	0.0172715894869	0.000688360450563	6.25782227785e-05	0.00150187734668	0.0	0.0	0.000187734668335	0.000125156445557	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.000438047559449	0.0	0.0	0.0	0.000125156445557	6.25782227785e-05	6.25782227785e-05	6.25782227785e-05	0.000438047559449	6.25782227785e-05	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.0	0.012140175219	0.00137672090113	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0108886107635	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000312891113892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000688360450563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000187734668335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00219023779725	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000250312891114	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.000187734668335	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.000250312891114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000187734668335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000375469336671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.000125156445557	0.000125156445557	6.25782227785e-05	6.25782227785e-05	0.0	0.000250312891114	0.0	0.000187734668335	0.0	0.000500625782228	0.0	0.000312891113892	0.000500625782228	6.25782227785e-05	0.0	0.000187734668335	6.25782227785e-05	0.0	0.0	0.000688360450563	6.25782227785e-05	6.25782227785e-05	0.000250312891114	0.000125156445557	0.00100125156446	0.000187734668335	0.000563204005006	0.000500625782228	6.25782227785e-05	0.000125156445557	0.0	0.0	0.000125156445557	6.25782227785e-05	0.0	0.000312891113892	0.000375469336671	0.000125156445557	6.25782227785e-05	0.000187734668335	0.00106382978723	0.000125156445557	6.25782227785e-05	0.000688360450563	0.0	0.000187734668335	0.000688360450563	0.000187734668335	0.000125156445557	0.000625782227785	0.000125156445557	6.25782227785e-05	0.000125156445557	0.000750938673342	0.0	0.0	0.000125156445557	0.000250312891114	0.000500625782228	0.000125156445557	6.25782227785e-05	6.25782227785e-05	0.0	0.000125156445557	0.000125156445557	0.0	0.000250312891114	0.000375469336671	0.000250312891114	0.000250312891114	0.000876095118899	6.25782227785e-05	0.00081351689612	0.0	0.000125156445557	0.000312891113892	0.00118898623279	0.0	0.0	6.25782227785e-05	0.0	0.0	0.000187734668335	6.25782227785e-05	0.0	6.25782227785e-05	0.000187734668335	0.000187734668335	0.000187734668335	0.000563204005006	0.000125156445557	0.000250312891114	0.000375469336671	0.00362953692115	0.00306633291615	0.000187734668335	0.000625782227785	0.000563204005006	0.000375469336671	0.0	0.000438047559449	0.000187734668335	0.000563204005006	0.000125156445557	0.0467459324155	0.000187734668335	0.000312891113892	0.000187734668335	6.25782227785e-05	0.000250312891114	6.25782227785e-05	0.0	0.000312891113892	6.25782227785e-05	0.00125156445557	0.000187734668335	0.00137672090113	0.000625782227785	0.000625782227785	0.000187734668335	0.000250312891114	0.000125156445557	0.000375469336671	0.0	0.000187734668335	0.000125156445557	0.000125156445557	0.000500625782228	0.000187734668335	0.000312891113892	0.000500625782228	0.0	0.000125156445557	0.00150187734668	6.25782227785e-05	6.25782227785e-05	0.000563204005006	0.000500625782228	6.25782227785e-05	0.000938673341677	0.000187734668335	0.0	0.000312891113892	0.000500625782228	0.00193992490613	0.00244055068836	0.0	6.25782227785e-05	0.000125156445557	0.000187734668335	0.000125156445557
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
